epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,2.354412794113159,1.4646505117416382,0.08516483516483517,0.27522306108442,0.5030255506828204,0.5033025994657688
5,1.4332551956176758,1.444157361984253,0.34065934065934067,0.31708991077556625,0.5,0.4976035368244048
10,1.7422171831130981,1.4353631734848022,0.3269230769230769,0.3225806451612903,0.508217312035138,0.4988499609400867
15,1.5125502347946167,1.4362540245056152,0.23901098901098902,0.3218943033630748,0.5030286095648342,0.49918908422425695
20,1.433270812034607,1.439306378364563,0.34065934065934067,0.332875772134523,0.5,0.49948611907958473
25,1.4327523708343506,1.4322991371154785,0.34065934065934067,0.32326698695950584,0.5,0.4924654077048246
30,1.441032886505127,1.437095046043396,0.29945054945054944,0.33150308853809196,0.48328943688234194,0.4977023861625872
35,1.4827183485031128,1.4284809827804565,0.2087912087912088,0.29512697323266984,0.49337830453518966,0.48980083299021715
40,1.4557440280914307,1.4476779699325562,0.34065934065934067,0.3218943033630748,0.5,0.5023919170519731
45,1.5371628999710083,1.4327315092086792,0.20604395604395603,0.332875772134523,0.5105330187776715,0.5028490566647854
50,4.086832523345947,1.4440820217132568,0.23076923076923078,0.33150308853809196,0.4643304975212711,0.497168028484466
55,3.0515716075897217,1.4252314567565918,0.21428571428571427,0.33493479752916955,0.46792839330423236,0.4973472782466579
60,3.5797317028045654,1.3362863063812256,0.27197802197802196,0.2882635552505148,0.4798603889661833,0.5057299049503696
65,1.8257410526275635,0.9108045697212219,0.35714285714285715,0.3891557995881949,0.5578262228906941,0.5578907755287897
70,4.377719879150391,0.7475325465202332,0.2032967032967033,0.48936170212765956,0.4454290765183313,0.6198280250879638
75,2.561751127243042,0.5514609813690186,0.4010989010989011,0.6060398078242965,0.5706726190588368,0.6794162022869983
80,2.7587907314300537,0.46737921237945557,0.32967032967032966,0.7206588881262869,0.5519049407335914,0.7369227568560516
