epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.2094460725784302,1.0064750909805298,0.936986301369863,0.9196428571428571,0.9517559852099823,0.9738076745870049
10,1.544991135597229,0.4013383090496063,0.9041095890410958,0.959478021978022,0.956673579303454,0.9957211076710362
15,1.7483495473861694,0.19586899876594543,0.9068493150684932,0.9800824175824175,0.9536557627819421,0.9984004972666601
20,230.347412109375,0.5134488344192505,0.6328767123287671,0.9622252747252747,0.7812178584663578,0.9901847451133423
25,1.0369584560394287,0.11886460334062576,0.9315068493150684,0.9883241758241759,0.9729549847556687,0.9995218491166861
30,1.9766844511032104,0.3695400059223175,0.9424657534246575,0.9656593406593407,0.9607497621414023,0.9956882955221322
35,1.6219465732574463,0.20919881761074066,0.915068493150685,0.9821428571428571,0.9362928543909267,0.9980140291059599
40,1.1244245767593384,0.18015216290950775,0.947945205479452,0.9842032967032966,0.9622815751386449,0.9984947733406732
45,1.2934045791625977,0.08746732771396637,0.947945205479452,0.9938186813186813,0.9386098511112172,0.9986426909773782
50,1.5269302129745483,0.2268141806125641,0.9287671232876712,0.9821428571428571,0.9474188122038246,0.9987908354299416
