epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.3279415369033813,0.8156161308288574,0.9175824175824175,0.9251887439945092,0.9325308698679364,0.9574661739053607
10,1.567894697189331,0.8505542874336243,0.9203296703296703,0.9313658201784488,0.9465705034375664,0.9708581145057592
15,1.0013819932937622,0.36085987091064453,0.945054945054945,0.9629375428963624,0.947952079758116,0.9900138381212141
20,3.3257460594177246,0.2621038556098938,0.8791208791208791,0.9752916952642416,0.9289079725346682,0.9951174407802073
25,1.3760992288589478,0.32140418887138367,0.9478021978021978,0.9698009608785175,0.9377353377239623,0.9934457170154642
30,1.026473045349121,0.30298328399658203,0.9505494505494505,0.9732326698695951,0.9733633243711546,0.9973233682076406
35,1.6549067497253418,0.3022450804710388,0.9065934065934066,0.9691146190803019,0.9592454960334555,0.9956230377120663
40,1.164985179901123,0.17057473957538605,0.9423076923076923,0.9828414550446122,0.9673956769021679,0.9987037151591109
45,1.2443113327026367,0.156483456492424,0.9368131868131868,0.9869595058339052,0.9502343933914557,0.9988068078935742
50,1.2354867458343506,0.33858558535575867,0.9368131868131868,0.9691146190803019,0.9730129698627359,0.9964474361753625
